year,city,country,avg_temp,year,avg_temp_global
1841,Melbourne,Australia,13.09,1841,7.69
1842,Melbourne,Australia,12.96,1842,8.02
1843,Melbourne,Australia,13.34,1843,8.17
1844,Melbourne,Australia,12.60,1844,7.65
1845,Melbourne,Australia,13.16,1845,7.85
1846,Melbourne,Australia,13.43,1846,8.55
1847,Melbourne,Australia,13.03,1847,8.09
1848,Melbourne,Australia,12.58,1848,7.98
1849,Melbourne,Australia,12.30,1849,7.98
1850,Melbourne,Australia,12.99,1850,7.90
1851,Melbourne,Australia,12.97,1851,8.18
1852,Melbourne,Australia,12.72,1852,8.10
1853,Melbourne,Australia,12.51,1853,8.04
1854,Melbourne,Australia,12.84,1854,8.21
1855,Melbourne,Australia,11.43,1855,8.11
1856,Melbourne,Australia,13.40,1856,8.00
1857,Melbourne,Australia,13.44,1857,7.76
1858,Melbourne,Australia,13.60,1858,8.10
1859,Melbourne,Australia,13.17,1859,8.25
1860,Melbourne,Australia,13.29,1860,7.96
1861,Melbourne,Australia,13.18,1861,7.85
1862,Melbourne,Australia,13.50,1862,7.56
1863,Melbourne,Australia,12.96,1863,8.11
1864,Melbourne,Australia,13.01,1864,7.98
1865,Melbourne,Australia,12.78,1865,8.18
1866,Melbourne,Australia,13.36,1866,8.29
1867,Melbourne,Australia,13.37,1867,8.44
1868,Melbourne,Australia,13.31,1868,8.25
1869,Melbourne,Australia,13.18,1869,8.43
1870,Melbourne,Australia,13.30,1870,8.20
1871,Melbourne,Australia,13.50,1871,8.12
1872,Melbourne,Australia,13.40,1872,8.19
1873,Melbourne,Australia,13.47,1873,8.35
1874,Melbourne,Australia,12.96,1874,8.43
1875,Melbourne,Australia,13.09,1875,7.86
1876,Melbourne,Australia,13.22,1876,8.08
1877,Melbourne,Australia,13.10,1877,8.54
1878,Melbourne,Australia,13.34,1878,8.83
1879,Melbourne,Australia,13.02,1879,8.17
1880,Melbourne,Australia,13.40,1880,8.12
1881,Melbourne,Australia,13.10,1881,8.27
1882,Melbourne,Australia,13.34,1882,8.13
1883,Melbourne,Australia,13.42,1883,7.98
